tempo,rpm,freq,out
0.8947513103485107,0.0,0.0,0.0
1.420243263244629,0.0,0.0,2.0
1.9492604732513428,0.0,0.0,4.0
2.4782819747924805,0.0,0.0,6.0
3.006699323654175,0.0,0.0,8.0
3.5367183685302734,0.0,0.0,10.0
4.080416917800903,0.0,0.0,12.0
4.61161994934082,0.0,0.0,14.0
5.1417458057403564,0.0,0.0,16.0
5.6693174839019775,0.0,0.0,18.0
6.199154376983643,0.0,0.0,20.0
6.728817462921143,0.0,0.0,22.0
7.256472587585449,0.0,0.0,24.0
7.783969163894653,0.0,0.0,26.0
8.327370882034302,0.0,0.0,28.0
8.854715347290039,0.0,0.0,30.0
9.382916927337646,0.0,0.0,32.0
9.911878108978271,0.0,0.0,34.0
10.440333843231201,0.0,0.0,36.0
10.978316068649292,0.0,0.0,38.0
11.51188063621521,0.0,0.0,40.0
12.039332389831543,6.82,1.09,42.0
12.567847967147827,36.36,5.82,44.0
13.096129179000854,65.91,10.55,46.0
13.640926361083984,90.91,14.55,48.0
14.167794704437256,111.36,17.82,50.0
14.697947263717651,132.95,21.27,52.0
15.242365837097168,152.27,24.36,54.0
15.771026611328125,168.18,26.91,56.0
16.29909920692444,186.36,29.82,58.0
16.8288254737854,201.14,32.18,60.0
17.375243186950684,215.91,34.55,62.0
17.904462337493896,231.82,37.09,64.0
18.432543992996216,245.45,39.27,66.0
18.976224184036255,257.95,41.27,68.0
19.506572246551514,270.45,43.27,70.0
20.03539514541626,280.68,44.91,72.0
20.565067052841187,293.18,46.91,74.0
21.11180853843689,304.55,48.73,76.0
21.637000799179077,313.64,50.18,78.0
22.16657042503357,323.86,51.82,80.0
22.711790561676025,332.95,53.27,82.0
23.241291284561157,342.05,54.73,84.0
23.769448041915894,350.0,56.0,86.0
24.3130202293396,357.95,57.27,88.0
24.848180055618286,367.05,58.73,90.0
25.369901180267334,372.73,59.64,92.0
25.915797472000122,378.41,60.55,94.0
26.44385004043579,386.36,61.82,96.0
26.98188352584839,393.18,62.91,98.0
27.515414237976074,397.73,63.64,100.0
28.044174909591675,405.68,64.91,102.0
28.589154958724976,410.23,65.64,104.0
29.119205474853516,414.77,66.36,106.0
29.649346828460693,420.45,67.27,108.0
30.194876670837402,426.14,68.18,110.0
30.722806215286255,430.68,68.91,112.0
31.253199100494385,434.09,69.45,114.0
31.798185348510742,438.64,70.18,116.0
32.327128648757935,443.18,70.91,118.0
32.85609030723572,447.73,71.64,120.0
33.40279674530029,450.0,72.0,122.0
33.929378032684326,454.55,72.73,124.0
34.458603620529175,459.09,73.45,126.0
35.00371527671814,462.5,74.0,128.0
35.53167390823364,464.77,74.36,130.0
36.077744007110596,468.18,74.91,132.0
36.61070775985718,471.59,75.45,134.0
37.13512563705444,475.0,76.0,136.0
37.678107023239136,478.41,76.55,138.0
38.20773792266846,480.68,76.91,140.0
38.737518072128296,484.09,77.45,142.0
39.28380513191223,485.23,77.64,144.0
39.81085014343262,488.64,78.18,146.0
40.355348110198975,490.91,78.55,148.0
40.8844780921936,493.18,78.91,150.0
41.42353844642639,496.59,79.45,152.0
41.95678234100342,497.73,79.64,154.0
42.48621582984924,500.0,80.0,156.0
43.015355825424194,502.27,80.36,158.0
43.55857062339783,504.55,80.73,160.0
44.09409523010254,506.82,81.09,162.0
44.63340163230896,507.95,81.27,164.0
45.16361904144287,510.23,81.64,166.0
45.691147327423096,511.36,81.82,168.0
46.23677158355713,514.77,82.36,170.0
46.764270305633545,514.77,82.36,172.0
47.30862474441528,518.18,82.91,174.0
47.83709001541138,518.18,82.91,176.0
48.36604928970337,520.45,83.27,178.0
48.91149640083313,522.73,83.64,180.0
49.442002058029175,523.86,83.82,182.0
49.96982717514038,525.0,84.0,184.0
50.51268553733826,528.41,84.55,186.0
51.040380001068115,529.55,84.73,188.0
51.58441662788391,534.09,85.45,190.0
52.11434245109558,534.09,85.45,192.0
52.658209562301636,536.36,85.82,194.0
53.18645715713501,537.5,86.0,196.0
53.7159583568573,540.91,86.55,198.0
54.26049494743347,545.45,87.27,200.0
54.79071044921875,544.32,87.09,202.0
55.32558751106262,545.45,87.27,204.0
55.86409044265747,545.45,87.27,206.0
56.39154291152954,545.45,87.27,208.0
56.93431115150452,544.32,87.09,210.0
57.461535930633545,545.45,87.27,212.0
58.00539565086365,545.45,87.27,214.0
58.534503698349,545.45,87.27,216.0
59.06424570083618,544.32,87.09,218.0
59.60900568962097,545.45,87.27,220.0
60.137256145477295,545.45,87.27,222.0
60.667402505874634,544.32,87.09,224.0
61.21717309951782,545.45,87.27,226.0
61.74188804626465,545.45,87.27,228.0
62.273282527923584,544.32,87.09,230.0
62.81784248352051,545.45,87.27,232.0
63.345332860946655,545.45,87.27,234.0
63.87430787086487,545.45,87.27,236.0
64.4223427772522,544.32,87.09,238.0
64.94917678833008,545.45,87.27,240.0
65.47896647453308,545.45,87.27,242.0
66.02338242530823,545.45,87.27,244.0
66.55274033546448,546.59,87.45,246.0
67.09467077255249,556.82,89.09,248.0
67.62386870384216,559.09,89.45,250.0
68.16671872138977,560.23,89.64,252.0
68.69667482376099,564.77,90.36,254.0
