tempo,rpm,freq,out
28.40667414665222,497.73,79.64,-155.0
28.947051525115967,496.59,79.45,-153.0
29.494059324264526,495.45,79.27,-151.0
30.019340753555298,493.18,78.91,-149.0
30.561203002929688,490.91,78.55,-147.0
31.088684558868408,488.64,78.18,-145.0
31.635266304016113,487.5,78.0,-143.0
32.16117978096008,485.23,77.64,-141.0
32.69250535964966,482.95,77.27,-139.0
33.242067098617554,480.68,76.91,-137.0
33.778528928756714,478.41,76.55,-135.0
34.30879497528076,476.14,76.18,-133.0
34.836530447006226,472.73,75.64,-131.0
35.380351305007935,470.45,75.27,-129.0
35.90960168838501,468.18,74.91,-127.0
36.45824956893921,465.91,74.55,-125.0
36.98091101646423,461.36,73.82,-123.0
37.52787637710571,460.23,73.64,-121.0
38.056114196777344,456.82,73.09,-119.0
38.60068202018738,452.27,72.36,-117.0
39.12793302536011,450.0,72.0,-115.0
39.672128677368164,446.59,71.45,-113.0
40.201988220214844,440.91,70.55,-111.0
40.7317316532135,438.64,70.18,-109.0
41.275808572769165,435.23,69.64,-107.0
41.811241149902344,430.68,68.91,-105.0
42.35112404823303,428.41,68.55,-103.0
42.87937068939209,422.73,67.64,-101.0
43.409245014190674,419.32,67.09,-99.0
43.95367431640625,411.36,65.82,-97.0
44.48241472244263,407.95,65.27,-95.0
45.024789333343506,402.27,64.36,-93.0
45.55461001396179,397.73,63.64,-91.0
46.081459045410156,393.18,62.91,-89.0
46.62468194961548,386.36,61.82,-87.0
47.1616485118866,380.68,60.91,-85.0
47.69765877723694,375.0,60.0,-83.0
48.23313331604004,368.18,58.91,-81.0
48.756720781326294,361.36,57.82,-79.0
49.304271936416626,354.55,56.73,-77.0
49.82234811782837,347.73,55.64,-75.0
50.37148332595825,338.64,54.18,-73.0
50.89503717422485,331.82,53.09,-71.0
51.44034194946289,322.73,51.64,-69.0
51.9692018032074,313.64,50.18,-67.0
52.49789571762085,304.55,48.73,-65.0
53.042890310287476,295.45,47.27,-63.0
53.579185485839844,282.95,45.27,-61.0
54.11713171005249,272.73,43.64,-59.0
54.64519000053406,263.64,42.18,-57.0
55.17357516288757,252.27,40.36,-55.0
55.71922826766968,239.77,38.36,-53.0
56.2456169128418,227.27,36.36,-51.0
56.77498197555542,213.64,34.18,-49.0
57.31885576248169,201.14,32.18,-47.0
57.84919238090515,185.23,29.64,-45.0
58.39246201515198,169.32,27.09,-43.0
58.91991353034973,153.41,24.55,-41.0
59.449727058410645,136.36,21.82,-39.0
59.99519920349121,118.18,18.91,-37.0
60.52500295639038,98.86,15.82,-35.0
61.054919719696045,80.68,12.91,-33.0
61.5850567817688,60.23,9.64,-31.0
62.131956815719604,40.91,6.55,-29.0
62.65869617462158,19.32,3.09,-27.0
63.18700385093689,0.0,0.0,-25.0
63.71792531013489,0.0,0.0,-23.0
64.24717116355896,0.0,0.0,-21.0
64.77587699890137,0.0,0.0,-19.0
65.32208919525146,0.0,0.0,-17.0
65.85049343109131,0.0,0.0,-15.0
66.37868928909302,0.0,0.0,-13.0
66.90805435180664,0.0,0.0,-11.0
67.4370608329773,0.0,0.0,-9.0
67.96677732467651,0.0,0.0,-7.0
68.49612998962402,0.0,0.0,-5.0
69.03914618492126,0.0,0.0,-3.0
69.57189178466797,0.0,0.0,-1.0
70.09628009796143,0.0,0.0,1.0
70.62295079231262,0.0,0.0,3.0
71.1523072719574,0.0,0.0,5.0
71.68077754974365,0.0,0.0,7.0
72.20812368392944,0.0,0.0,9.0
72.73725247383118,0.0,0.0,11.0
73.28068423271179,0.0,0.0,13.0
73.80765891075134,0.0,0.0,15.0
74.33602499961853,0.0,0.0,17.0
74.87223935127258,1.14,0.18,19.0
75.3912844657898,0.0,0.0,21.0
75.93454957008362,0.0,0.0,23.0
76.46225309371948,0.0,0.0,25.0
76.99085783958435,0.0,0.0,27.0
77.52101945877075,0.0,0.0,29.0
78.0495011806488,0.0,0.0,31.0
78.57700443267822,0.0,0.0,33.0
79.11915183067322,0.0,0.0,35.0
79.64641404151917,0.0,0.0,37.0
80.17637324333191,0.0,0.0,39.0
80.70417547225952,2.27,0.36,41.0
81.23173904418945,0.0,0.0,43.0
81.7603406906128,0.0,0.0,45.0
82.29048323631287,0.0,0.0,47.0
82.81957697868347,0.0,0.0,49.0
83.36320424079895,0.0,0.0,51.0
83.89279127120972,27.27,4.36,53.0
84.42201113700867,85.23,13.64,55.0
84.95346140861511,128.41,20.55,57.0
85.49705410003662,160.23,25.64,59.0
86.0232663154602,186.36,29.82,61.0
86.55366325378418,207.95,33.27,63.0
87.0980076789856,227.27,36.36,65.0
87.62739324569702,242.05,38.73,67.0
88.69898009300232,271.59,43.45,71.0
