tempo,rpm,freq,out
2.9274404048919678,0.0,0.0,0.0
3.457225799560547,0.0,0.0,-2.0
3.9832396507263184,0.0,0.0,-4.0
4.515422821044922,0.0,0.0,-6.0
5.052257776260376,0.0,0.0,-8.0
5.582512617111206,0.0,0.0,-10.0
6.111410140991211,0.0,0.0,-12.0
6.643928050994873,0.0,0.0,-14.0
7.176921844482422,0.0,0.0,-16.0
7.700429677963257,0.0,0.0,-18.0
8.24029278755188,0.0,0.0,-20.0
8.77367615699768,0.0,0.0,-22.0
9.29724407196045,0.0,0.0,-24.0
9.835663557052612,0.0,0.0,-26.0
10.368579864501953,0.0,0.0,-28.0
10.896018505096436,0.0,0.0,-30.0
11.42409610748291,0.0,0.0,-32.0
11.956023931503296,0.0,0.0,-34.0
12.495726108551025,0.0,0.0,-36.0
13.024861812591553,0.0,0.0,-38.0
13.558826684951782,3.41,0.55,-40.0
14.090906143188477,11.36,1.82,-42.0
14.61078691482544,39.77,6.36,-44.0
15.156461000442505,69.32,11.09,-46.0
15.683969974517822,95.45,15.27,-48.0
16.22653365135193,119.32,19.09,-50.0
16.754575490951538,142.05,22.73,-52.0
17.288456678390503,161.36,25.82,-54.0
17.82794976234436,179.55,28.73,-56.0
18.35955309867859,195.45,31.27,-58.0
18.898051261901855,212.5,34.0,-60.0
19.43037176132202,227.27,36.36,-62.0
19.970824480056763,239.77,38.36,-64.0
20.507118701934814,254.55,40.73,-66.0
21.04065752029419,267.05,42.73,-68.0
21.570050477981567,278.41,44.55,-70.0
22.097960472106934,289.77,46.36,-72.0
22.64533567428589,301.14,48.18,-74.0
23.176661252975464,311.36,49.82,-76.0
23.71385145187378,320.45,51.27,-78.0
24.24298119544983,329.55,52.73,-80.0
24.776283979415894,337.5,54.0,-82.0
25.318299055099487,346.59,55.45,-84.0
25.84116005897522,354.55,56.73,-86.0
26.388057231903076,362.5,58.0,-88.0
26.915348768234253,369.32,59.09,-90.0
27.450129508972168,376.14,60.18,-92.0
27.988445281982422,381.82,61.09,-94.0
28.52482557296753,389.77,62.36,-96.0
29.061437845230103,395.45,63.27,-98.0
29.589341163635254,401.14,64.18,-100.0
30.13403844833374,406.82,65.09,-102.0
30.669333934783936,411.36,65.82,-104.0
31.20497965812683,414.77,66.36,-106.0
31.733099937438965,420.45,67.27,-108.0
32.27742004394531,425.0,68.0,-110.0
32.805180311203,430.68,68.91,-112.0
33.34778547286987,434.09,69.45,-114.0
33.876105070114136,438.64,70.18,-116.0
34.419750690460205,443.18,70.91,-118.0
34.9507098197937,445.45,71.27,-120.0
35.49113917350769,450.0,72.0,-122.0
36.01747393608093,452.27,72.36,-124.0
36.562764406204224,456.82,73.09,-126.0
37.09884810447693,460.23,73.64,-128.0
37.635092973709106,463.64,74.18,-130.0
38.163530349731445,465.91,74.55,-132.0
38.69520306587219,469.32,75.09,-134.0
39.24119567871094,471.59,75.45,-136.0
39.76550817489624,475.0,76.0,-138.0
40.311274766922,476.14,76.18,-140.0
40.838589906692505,479.55,76.73,-142.0
41.38429260253906,481.82,77.09,-144.0
41.914934396743774,485.23,77.64,-146.0
42.45627212524414,486.36,77.82,-148.0
42.983649015426636,488.64,78.18,-150.0
43.52517580986023,490.91,78.55,-152.0
44.05361604690552,493.18,78.91,-154.0
44.59550404548645,494.32,79.09,-156.0
45.12599205970764,497.73,79.64,-158.0
45.67046236991882,497.73,79.64,-160.0
46.205631494522095,501.14,80.18,-162.0
46.74179220199585,502.27,80.36,-164.0
47.27885127067566,503.41,80.55,-166.0
47.81362175941467,505.68,80.91,-168.0
48.349332094192505,506.82,81.09,-170.0
48.885212421417236,509.09,81.45,-172.0
49.421260595321655,510.23,81.64,-174.0
49.95604944229126,511.36,81.82,-176.0
50.47913599014282,513.64,82.18,-178.0
51.0282142162323,513.64,82.18,-180.0
51.564337730407715,515.91,82.55,-182.0
52.09943199157715,518.18,82.91,-184.0
52.6353394985199,519.32,83.09,-186.0
53.17100930213928,520.45,83.27,-188.0
53.70725345611572,520.45,83.27,-190.0
54.2424373626709,522.73,83.64,-192.0
54.772465229034424,523.86,83.82,-194.0
55.304851770401,525.0,84.0,-196.0
55.84968137741089,526.14,84.18,-198.0
56.38546109199524,528.41,84.55,-200.0
56.922130823135376,528.41,84.55,-202.0
57.457120418548584,530.68,84.91,-204.0
57.992807149887085,530.68,84.91,-206.0
58.52161240577698,531.82,85.09,-208.0
59.06416201591492,532.95,85.27,-210.0
59.603660106658936,535.23,85.64,-212.0
60.135459184646606,536.36,85.82,-214.0
60.668601751327515,536.36,85.82,-216.0
61.20707440376282,539.77,86.36,-218.0
61.74360656738281,539.77,86.36,-220.0
62.27963423728943,539.77,86.36,-222.0
62.81504988670349,539.77,86.36,-224.0
63.34972643852234,543.18,86.91,-226.0
63.885932207107544,545.45,87.27,-228.0
64.42223072052002,546.59,87.45,-230.0
64.94784164428711,545.45,87.27,-232.0
65.48155307769775,546.59,87.45,-234.0
66.02888989448547,546.59,87.45,-236.0
66.56513905525208,545.45,87.27,-238.0
67.1006498336792,546.59,87.45,-240.0
67.63538336753845,546.59,87.45,-242.0
68.17194390296936,545.45,87.27,-244.0
68.70701861381531,546.59,87.45,-246.0
69.24360656738281,545.45,87.27,-248.0
69.76519417762756,546.59,87.45,-250.0
70.31170177459717,546.59,87.45,-252.0
70.83897423744202,551.14,88.18,-254.0
