out,sig_angle_deg
-71.29,238.21
-55.21,238.12
-66.37,238.12
-50.26,238.03
-50.0,237.95
-72.52,238.03
-62.57,238.03
-50.0,237.95
-74.28,238.03
-64.33,238.03
-64.92,238.03
-82.24,238.12
-72.3,238.12
-56.2,238.03
-67.34,238.03
-67.93,238.03
-51.8,237.95
-62.92,237.95
-63.49,237.95
-80.79,238.03
-87.56,238.12
-60.9,238.03
-55.32,237.95
-66.44,237.95
-67.01,237.95
-67.58,237.95
-68.15,237.95
-68.72,237.95
-69.29,237.95
-86.59,238.03
-76.63,238.03
-60.5,237.95
-54.9,237.86
-50.0,237.77
-60.35,237.77
-60.88,237.77
-78.13,237.86
-84.85,237.95
-74.88,237.95
-75.45,237.95
-59.3,237.86
-70.39,237.86
-70.94,237.86
-71.49,237.86
-72.04,237.86
-72.59,237.86
-73.14,237.86
-73.69,237.86
-74.24,237.86
-58.06,237.77
-69.14,237.77
-69.67,237.77
-70.19,237.77
-87.44,237.86
-77.45,237.86
-78.0,237.86
-61.82,237.77
-72.9,237.77
-73.42,237.77
-73.95,237.77
-74.48,237.77
-75.01,237.77
-75.53,237.77
-76.06,237.77
-59.87,237.68
-70.92,237.68
-71.42,237.68
-71.93,237.68
-89.16,237.77
-79.14,237.77
-79.67,237.77
-63.47,237.68
-74.52,237.68
-58.31,237.59
-69.34,237.59
-86.54,237.68
-76.5,237.68
-77.01,237.68
-77.51,237.68
-78.02,237.68
-61.8,237.59
-72.83,237.59
-90.04,237.68
-79.99,237.68
-80.5,237.68
-81.01,237.68
-64.79,237.59
-59.1,237.51
-86.83,237.59
-76.76,237.59
-77.25,237.59
-77.73,237.59
-78.21,237.59
-78.7,237.59
-62.46,237.51
-73.47,237.51
-90.65,237.59
-80.59,237.59
-81.07,237.59
-81.55,237.59
-82.04,237.59
-65.8,237.51
-76.81,237.51
-93.99,237.59
-83.93,237.59
-84.41,237.59
-68.17,237.51
-62.46,237.42
-73.45,237.42
-73.88,237.42
-91.05,237.51
-80.96,237.51
-81.42,237.51
-65.16,237.42
-76.15,237.42
-76.59,237.42
-93.75,237.51
-83.66,237.51
-84.12,237.51
-67.86,237.42
-78.85,237.42
-79.29,237.42
-79.73,237.42
-80.17,237.42
-97.33,237.51
-70.52,237.42
-64.79,237.33
-92.48,237.42
-82.37,237.42
-82.81,237.42
-83.25,237.42
-66.96,237.33
-77.93,237.33
-78.35,237.33
-78.76,237.33
-79.18,237.33
-79.6,237.33
-80.02,237.33
-80.43,237.33
-80.85,237.33
-81.27,237.33
-81.69,237.33
-82.1,237.33
-65.8,237.24
-76.74,237.24
-77.14,237.24
-94.25,237.33
-84.12,237.33
-84.54,237.33
-68.24,237.24
-62.46,237.15
-90.1,237.24
-79.95,237.24
-80.34,237.24
-80.74,237.24
-81.14,237.24
-81.53,237.24
-81.93,237.24
-82.32,237.24
-82.72,237.24
-83.11,237.24
-83.51,237.24
-67.18,237.15
-78.1,237.15
-78.48,237.15
-95.57,237.24
-85.42,237.24
-85.82,237.24
-69.49,237.15
-80.41,237.15
-80.78,237.15
-97.88,237.24
-71.0,237.15
-81.93,237.15
-65.58,237.07
-93.2,237.15
-83.02,237.15
-83.4,237.15
-83.77,237.15
-67.42,237.07
-78.32,237.07
-78.67,237.07
-95.75,237.15
-85.57,237.15
-69.22,237.07
-80.12,237.07
-80.48,237.07
-80.83,237.07
-81.18,237.07
-98.25,237.15
-71.36,237.07
-82.26,237.07
-82.61,237.07
-82.96,237.07
-83.31,237.07
-83.66,237.07
-67.29,236.98
-78.17,236.98
-78.5,236.98
-78.83,236.98
-95.88,237.07
-68.96,236.98
-79.84,236.98
-80.17,236.98
-97.22,237.07
-87.02,237.07
-87.37,237.07
-71.0,236.98
-65.16,236.89
-92.74,236.98
-82.52,236.98
-82.85,236.98
-83.18,236.98
-66.78,236.89
-77.64,236.89
-94.67,236.98
-84.45,236.98
-84.78,236.98
-85.11,236.98
-68.72,236.89
-96.3,236.98
-86.08,236.98
-69.68,236.89
-80.54,236.89
-80.85,236.89
-64.43,236.8
-91.99,236.89
-98.47,236.98
-71.53,236.89
-65.66,236.8
-76.5,236.8
-93.51,236.89
-99.99,236.98
-89.77,236.98
-90.1,236.98
-90.43,236.98
-74.04,236.89
-84.89,236.89
-85.2,236.89
-85.51,236.89
-69.09,236.8
-79.92,236.8
-80.21,236.8
-80.5,236.8
-80.78,236.8
-81.07,236.8
-64.63,236.71
-75.44,236.71
-92.43,236.8
-98.89,236.89
-88.65,236.89
-88.96,236.89
-72.54,236.8
-83.37,236.8
-100.38,236.89
-73.42,236.8
-84.25,236.8
-67.82,236.71
-78.63,236.71
-78.89,236.71
-95.88,236.8
-85.62,236.8
-85.9,236.8
-69.46,236.71
-97.0,236.8
-86.74,236.8
-87.02,236.8
-87.31,236.8
-70.87,236.71
-81.68,236.71
-81.95,236.71
-98.93,236.8
-71.95,236.71
-82.76,236.71
-66.3,236.63
-77.09,236.63
-94.05,236.71
-100.49,236.8
-73.51,236.71
-84.32,236.71
-84.58,236.71
-84.85,236.71
-85.11,236.71
-85.37,236.71
-85.64,236.71
-85.9,236.71
-86.16,236.71
-86.43,236.71
-69.97,236.63
-80.76,236.63
-81.0,236.63
-81.24,236.63
-81.48,236.63
-81.73,236.63
-81.97,236.63
-82.21,236.63
-82.45,236.63
-99.41,236.71
-89.13,236.71
-89.39,236.71
-72.94,236.63
-83.72,236.63
-83.97,236.63
-84.21,236.63
-84.45,236.63
-67.97,236.54
-78.74,236.54
-95.68,236.63
-85.37,236.63
-85.61,236.63
-85.86,236.63
-69.37,236.54
-80.14,236.54
-97.09,236.63
-86.78,236.63
-87.02,236.63
-87.26,236.63
-70.78,236.54
-98.27,236.63
-87.97,236.63
-88.21,236.63
-71.73,236.54
-65.77,236.45
-76.52,236.45
-93.44,236.54
-83.11,236.54
-83.33,236.54
-83.55,236.54
-83.77,236.54
-100.71,236.63
-90.4,236.63
-73.92,236.54
-84.69,236.54
-84.91,236.54
-85.13,236.54
-85.35,236.54
-85.57,236.54
-69.07,236.45
-63.09,236.36
-90.54,236.45
-96.91,236.54
-86.58,236.54
-86.8,236.54
-70.3,236.45
-81.04,236.45
-81.24,236.45
-98.16,236.54
-87.83,236.54
-71.33,236.45
-82.08,236.45
-82.27,236.45
-82.47,236.45
-99.39,236.54
-72.34,236.45
-83.09,236.45
-83.28,236.45
-83.48,236.45
-83.68,236.45
-83.88,236.45
-67.35,236.36
-78.08,236.36
-78.25,236.36
-95.15,236.45
-84.8,236.45
-85.0,236.45
-85.2,236.45
-85.39,236.45
-85.59,236.45
-85.79,236.45
-85.99,236.45
-69.46,236.36
-80.19,236.36
-80.36,236.36
-80.54,236.36
-80.71,236.36
-64.17,236.28
-74.87,236.28
-91.74,236.36
-98.09,236.45
-71.02,236.36
-81.75,236.36
-81.92,236.36
-65.37,236.28
-92.8,236.36
-82.43,236.36
-82.6,236.36
-82.78,236.36
-66.23,236.28
-76.93,236.28
-93.81,236.36
-83.44,236.36
-66.89,236.28
-77.59,236.28
-77.75,236.28
-94.62,236.36
-84.25,236.36
-84.43,236.36
-67.88,236.28
-78.58,236.28
-78.73,236.28
-95.61,236.36
-68.52,236.28
-79.22,236.28
-62.65,236.19
-90.05,236.28
-79.66,236.28
-79.81,236.28
-79.96,236.28
-80.12,236.28
-80.27,236.28
-97.15,236.36
-86.78,236.36
-70.23,236.28
-80.93,236.28
-64.36,236.19
-75.04,236.19
-91.9,236.28
-64.78,236.19
-75.46,236.19
-58.87,236.1
-69.53,236.1
-86.36,236.19
-75.94,236.19
-92.8,236.28
-82.4,236.28
-82.56,236.28
-82.71,236.28
-82.86,236.28
-83.02,236.28
-66.45,236.19
